State ID,State,Trade Value,Share
1,Aguascalientes,100236409,1.345765442
2,Baja California,389245816,5.225980987
3,Baja California Sur,5257717,0.070589658
5,Coahuila de Zaragoza,194018525,2.604876099
8,Chihuahua,560712344,7.528075907
9,Ciudad de MÈxico,1040107637,13.96439605
10,Durango,32043641,0.43021518
11,Guanajuato,236333767,3.172996914
14,Jalisco,645351816,8.664438208
15,Estado de MÈxico,518218162,6.957552659
16,Michoac·n de Ocampo,16452801,0.220893897
17,Morelos,10650526,0.14299305
19,Nuevo LeÛn,1839378743,24.69534146
21,Puebla,163155633,2.190513555
22,QuerÈtaro,147526466,1.980677697
23,Quintana Roo,23720707,0.318472181
25,Sinaloa,769224230,10.32753863
26,Sonora,86292572,1.158556681
27,Tabasco,25797005,0.34634838
28,Tamaulipas,527046632,7.076082941
30,Veracruz de Ignacio de la Llave,7475474,0.100365074
31,Yucat·n,110035660,1.477329347
